Clabels,ID,Shelves
1,976,4537
1,1044,522484
1,1044,106546
0,2816,447913
0,2816,1229817
0,2816,1229820
0,2816,1229821
3,1723,581514
3,1732,4537
1,920,4483
0,2760,1084835
3,1310,4537
1,881,106546
1,789,95987
1,789,4537
2,41,4537
3,1304,127175
1,747,4537
3,1720,106546
4,2073,4538
3,1825,650659
2,68,447913
2,68,1229821
1,902,4483
4,2090,4537
4,2204,4483
2,320,4483
2,320,106546
0,3046,127175
3,1502,447913
4,1920,447913
4,1920,1229821
4,1920,1229825
2,528,4483
4,1990,522484
4,1990,127175
1,736,529295
4,1897,4483
3,1576,4537
4,2026,1070524
3,1334,4538
4,1990,4483
3,1635,4483
3,1428,4483
4,1990,4483
3,1270,4483
2,68,1229817
2,68,95987
3,1757,529295
4,2195,4537
2,549,5065
2,345,106546
1,1146,95987
3,1697,1229817
3,1697,1229821
0,3069,522484
3,1712,4483
0,2788,127175
4,2302,1229821
4,2302,447913
3,1712,4483
0,3069,1229817
3,1671,4483
4,2156,4538
0,2510,1229821
0,2510,447913
2,47,581514
1,931,106546
1,609,4537
1,1000,4537
1,886,4537
4,2128,4537
1,736,4483
1,992,529295
0,2638,4483
2,405,4483
2,78,4537
1,1000,4537
4,2077,4537
4,2103,4537
0,2834,1180168
2,68,447913
2,68,1229821
2,68,1229818
2,68,1229817
2,68,1180168
1,1184,4537
3,1303,4537
2,563,4537
3,1529,447913
3,1529,4537
2,261,581514
4,1897,4537
1,1160,4537
1,704,4483
2,22,4483
2,154,529295
3,1491,4537
3,1712,4483
0,2627,4537
1,889,581514
1,687,4483
3,1804,4537
3,1249,4483
2,244,4483
2,244,4537
3,1691,106546
3,1691,522484
4,2159,4483
4,2380,4537
3,1640,529295
4,2405,4538
0,2552,1070524
0,2623,95987
0,2623,522484
0,2623,127175
4,1923,4483
3,1745,447913
0,2731,4483
0,3069,1180168
0,3069,1229821
1,850,4537
3,1528,4537
3,1528,1070524
4,2069,4537
4,2026,4537
4,1934,95987
4,2026,4537
1,891,4537
1,905,106546
1,905,127175
2,89,4483
4,2204,1070524
4,2256,529295
1,993,529295
0,2510,95987
0,2510,4537
0,2510,1070524
0,2510,3304195
0,2510,1229821
2,266,4537
1,823,1225174
0,2703,1229817
0,2703,1229821
0,2645,447913
3,1673,4537
3,1428,4483
2,94,95987
3,1439,1229821
3,1439,1229817
3,1635,648819
4,1990,106546
3,1723,581514
4,2256,127175
0,2703,1229817
0,2703,3304195
0,2703,1229821
2,185,4537
0,2907,95987
1,839,4537
4,2074,1229821
1,893,581514
1,665,4537
3,1581,1229817
3,1581,1229821
0,2510,522484
0,2510,106546
0,2510,522484
3,1732,106546
2,68,447913
2,68,1229821
3,1258,127175
3,1286,1229821
0,2989,4483
0,2706,581514
0,3069,3304195
0,3069,1229821
0,3069,1229820
4,2037,4483
3,1429,529295
2,26,1071165
3,1428,4537
1,944,106546
0,2860,4483
0,2703,1229821
3,1519,581514
3,1718,1229821
3,1718,1229825
1,633,4538
1,1097,4537
0,2528,1229821
0,2510,1180168
0,2510,3304195
0,2510,1229821
0,2510,1229817
4,2054,4537
3,1257,1071165
0,2779,447913
4,2367,529295
2,40,4483
1,774,4483
1,800,1229821
0,2510,522484
0,2510,106546
3,1382,95987
3,1382,4537
0,3007,522484
4,2078,95987
2,261,581514
2,563,4537
3,1419,95987
1,1079,4537
0,2815,447913
3,1428,4537
4,1984,581514
4,2443,4483
0,2706,581514
0,2703,1229817
0,2703,1229821
0,2752,95987
3,1718,1229821
3,1718,1180168
3,1817,5065
0,2622,529295
4,2008,4537
4,2373,4537
2,442,581514
4,1990,4483
0,3069,3304195
0,3069,1229820
3,1742,447913
4,1850,4537
1,1051,4537
2,142,4457
2,173,4537
3,1378,4483
0,3057,447913
4,2026,4537
1,633,4538
0,3095,4537
4,2069,4537
0,2703,1229817
3,1296,522484
3,1296,106546
2,184,4483
0,3112,650659
2,261,581514
4,2156,4536
1,1184,4537
3,1681,4537
3,1723,4483
4,2137,529295
2,445,4483
1,1000,4537
0,2510,447913
0,2510,1229821
0,2732,581514
0,2816,447913
0,2757,4537
0,2757,4536
2,68,1180168
4,2103,4537
1,606,650659
2,492,4537
4,2021,447913
3,1428,4537
0,2510,3304195
0,2510,1229820
4,2389,4483
2,299,4537
3,1514,4537
3,1723,581514
1,885,4483
2,68,581514
1,982,4483
3,1340,4537
0,2836,127175
4,1967,4483
4,1967,522484
4,2204,1070524
0,2622,529295
0,3129,1229817
3,1428,4537
4,2026,4537
3,1726,4537
2,339,95987
0,3112,106546
2,68,1180168
0,2516,529295
1,1079,4537
4,2103,4537
2,284,4483
0,2703,1229817
0,2703,1229821
0,2773,4537
3,1313,127175
0,2730,581514
3,1717,127175
3,1428,4537
1,1124,4483
0,2741,4483
1,674,4483
0,2952,4483
1,624,4483
3,1428,4483
2,352,4537
0,2510,3304195
0,2510,1229820
0,2842,581514
0,2761,1070524
0,2961,648819
1,979,95987
1,1047,4537
1,623,4483
4,1839,4483
3,1797,1071165
0,3113,4537
2,441,4483
2,72,95987
0,3129,3304195
0,3129,1229821
0,3129,1229820
1,1088,1070524
0,3090,1070524
2,376,529295
3,1635,4483
3,1553,4483
0,2570,522484
1,1094,4483
0,2510,4538
4,2302,4536
4,2294,95987
4,2294,522484
4,2294,106546
4,2294,127175
4,1884,4483
4,1884,4537
3,1737,4537
2,563,4483
0,2789,4537
2,68,1229817
2,68,447913
2,68,1229821
3,1540,4537
1,1000,447913
1,1042,4483
3,1357,4537
1,983,4537
0,3130,4537
0,3050,4537
4,1990,522484
4,1990,127175
4,1982,4537
0,2734,4483
3,1728,4483
3,1460,4536
0,2765,4536
2,328,4538
3,1428,4483
3,1811,4483
2,68,447913
0,2716,4538
3,1746,4483
2,304,4483
3,1795,4483
4,1941,4536
4,1990,106546
1,624,4537
3,1567,95987
3,1428,4538
0,2832,4537
1,634,127175
0,2786,1229825
1,698,650659
4,2359,4537
0,3036,1229821
0,3036,1229817
2,68,1229817
3,1737,4537
0,2706,447913
0,2853,1085065
3,1433,4483
4,2204,4483
2,60,127175
3,1723,581514
1,1097,4537
3,1712,4483
3,1282,95987
4,2456,4537
0,3043,4537
3,1686,4537
0,2726,581514
2,69,4483
1,1184,4537
3,1773,4483
4,1976,4537
2,92,95987
2,92,522484
2,92,106546
0,3069,3304195
0,3069,1229821
0,3069,1229820
1,970,581514
3,1737,4483
3,1745,95987
3,1593,447913
0,2706,581514
4,2303,127175
4,2303,522484
3,1467,4537
0,2985,106546
1,919,4483
4,2027,4483
4,2027,4537
3,1439,1229821
3,1257,4537
0,3026,4537
4,1844,581514
2,482,4483
1,654,1071165
4,1990,106546
1,744,4537
1,1092,4537
0,3129,3304195
0,3129,1229820
0,3069,95987
0,2469,4537
0,2469,4483
0,3051,1070524
3,1519,581514
2,184,4483
1,1088,581514
3,1765,4483
3,1406,4537
0,2736,4537
2,68,581514
4,2081,581514
3,1416,529295
3,1737,4537
2,68,4483
2,142,1229821
1,1133,529295
1,645,95987
4,2103,4537
0,3135,4537
0,2702,4537
3,1410,4536
2,173,4537
0,2888,95987
0,2888,522484
0,2888,127175
4,2058,95987
2,513,5065
3,1428,4483
0,2566,4537
0,3095,581514
0,2955,95987
1,1218,581514
4,2156,447913
4,2026,4537
4,2369,522484
4,2369,127175
1,730,4483
3,1428,4537
3,1436,95987
3,1380,106546
3,1439,4538
0,3087,522484
0,3087,106546
0,2928,581514
0,2510,1229817
0,2510,3304195
0,2510,1229821
1,850,581514
0,2510,522484
0,2510,95987
1,1095,581514
3,1479,4538
1,1164,5065
4,2025,4483
1,850,4537
3,1732,127175
1,1211,529295
2,481,4537
3,1453,447913
1,1062,581514
1,1062,4537
3,1365,4537
0,2467,4537
2,451,581514
0,3095,4537
3,1286,1229817
2,68,1180168
3,1754,4483
1,992,529295
1,1000,4537
2,68,95987
4,2062,4537
2,281,1229821
4,2096,4537
3,1428,4483
2,371,4537
0,2805,1070524
3,1696,1225174
2,184,4483
0,2510,95987
0,2510,4538
3,1737,4537
4,1860,4536
1,1040,4537
3,1712,4483
0,2934,4538
3,1428,4537
2,244,4483
0,2732,581514
2,68,127175
1,1097,4537
0,2706,581514
3,1289,4483
1,1206,4537
0,2790,4537
3,1502,1229819
0,2578,4537
0,2864,4483
1,698,650659
1,800,1229821
1,1097,4537
2,353,95987
2,353,106546
2,353,522484
2,115,4483
0,2476,447913
0,2476,4537
0,2476,581514
0,2703,3304195
0,2703,1229821
0,2703,1229820
0,2703,1229819
0,2703,1229817
4,2204,1070524
1,768,4483
3,1454,4483
0,2782,106546
0,2782,127175
0,2557,95987
2,339,95987
0,2846,4537
1,943,529295
4,2263,106546
4,2263,522484
4,2263,127175
4,1990,106546
4,2162,95987
0,3051,1070524
3,1502,1229821
0,2647,95987
4,2103,4537
1,958,4537
4,1990,95987
0,2510,95987
0,2510,522484
0,2510,106546
4,2020,4537
2,516,106546
4,2191,650659
1,934,4483
1,641,581514
1,1000,4537
0,2770,4538
0,2703,1180168
0,2703,1229821
0,2703,1229817
0,2703,1229817
1,996,650659
0,2610,4483
2,184,4483
1,1079,4537
0,3124,522484
2,68,1180168
2,563,4537
4,2448,4537
0,3069,447913
2,404,4537
4,2256,127175
2,68,1229821
2,432,447913
3,1659,4537
4,2156,1229821
4,2156,1229825
2,68,1229821
4,2078,3304195
4,2078,1229821
4,2103,4537
3,1442,447913
2,287,4483
2,170,4537
0,2706,581514
0,2828,106546
4,2078,1229817
4,1982,4537
2,170,4537
1,1184,4537
1,1147,4537
1,684,529295
1,1154,4537
0,2859,95987
0,2859,106546
0,2859,522484
4,2204,4537
0,2988,529295
3,1615,4483
1,908,62056
0,2676,95987
2,145,5065
1,980,4483
0,3005,581514
4,1884,522484
3,1428,4483
4,2215,522484
1,1003,4537
0,2709,4538
3,1374,1071165
3,1737,4483
2,453,106546
3,1620,4538
0,2510,3304195
3,1477,4483
0,2706,581514
1,1056,529295
3,1826,4483
3,1380,106546
4,2267,4483
0,2875,4537
4,2256,127175
4,2027,4483
0,2693,106546
3,1428,4537
1,1145,95987
1,1145,106546
1,933,4483
4,2015,4537
3,1745,95987
0,2510,3304195
0,2510,1229821
2,186,4483
0,2510,3304195
0,2510,1229821
2,482,529295
0,2942,106546
3,1428,4483
0,2646,1229817
0,2646,447913
1,768,4483
1,768,4537
4,1990,95987
3,1354,4483
3,1472,581514
4,1882,95987
2,464,581514
1,774,127175
0,2479,95987
0,2732,581514
0,2530,522484
0,2530,106546
0,2530,95987
3,1653,581514
2,68,1229817
2,68,95987
3,1506,529295
3,1439,447913
3,1439,3304195
3,1439,1229821
3,1439,1180168
0,2981,650659
2,244,4483
4,2251,4537
0,2499,4483
3,1592,650659
1,687,4483
2,142,1229821
3,1732,106546
4,2037,4483
2,131,95987
3,1428,4483
3,1405,4537
2,270,529295
1,1078,522484
1,1078,127175
0,2510,3304195
0,2510,1229821
1,754,4483
0,2510,1229817
0,2510,3304195
0,2510,1229821
0,2732,581514
0,3046,106546
0,2703,1229817
0,3005,4537
3,1576,581514
1,1000,4537
2,36,4483
1,1097,4537
3,1627,4537
0,2567,106546
3,1428,4537
2,206,581514
3,1439,1180168
1,784,4538
3,1367,4537
2,8,4536
2,68,1180168
3,1813,4483
4,1842,95987
4,1842,106546
4,1935,1070524
3,1338,5065
0,2842,581514
0,2622,529295
1,1088,581514
4,2367,529295
2,403,4537
1,961,106546
4,1871,529295
1,889,581514
3,1448,4538
4,2457,4483
2,224,581514
0,2789,4483
2,16,650659
1,1000,4537
0,3069,1180168
0,3069,1229821
0,3069,1229817
1,686,4483
2,345,106546
4,2092,529295
4,2410,4483
4,1901,4537
3,1737,4483
0,2706,581514
1,744,4483
4,2448,4537
2,142,1229821
0,3036,1229821
0,3036,1229817
2,537,4483
0,2526,4483
0,3069,1229821
0,3069,1229820
0,3069,1180168
4,1864,4483
0,2594,4537
4,1939,4483
2,462,4483
4,2125,4483
0,3029,581514
3,1745,95987
4,2004,447913
0,2533,95987
0,2592,4537
4,2078,1180168
2,68,1229817
2,68,1229818
3,1355,106546
0,2594,4537
0,2510,447913
0,2510,1229821
3,1226,4537
1,714,4537
2,529,4537
3,1312,4483
1,744,4537
0,3113,4537
2,304,95987
2,304,522484
1,1079,581514
4,2448,4483
4,2049,4537
1,1088,581514
2,37,650659
3,1718,1229821
1,809,4537
3,1519,581514
1,808,522484
3,1754,4483
3,1354,4483
1,812,4483
3,1380,106546
3,1380,127175
3,1380,4483
2,57,4483
4,2026,4537
4,1984,581514
2,514,4537
4,2367,529295
3,1737,4537
1,1000,4537
4,2031,4537
1,573,581514
3,1428,4537
0,3063,4483
4,2069,4537
3,1753,1229821
1,634,4483
3,1544,447913
3,1544,1229820
2,287,4483
2,68,1180168
3,1428,4483
1,640,522484
1,640,106546
3,1365,581514
0,2513,5065
2,184,4483
1,613,4537
0,2712,4483
0,3069,1229821
2,425,4537
4,1863,581514
2,68,1229817
0,2789,4537
0,2526,4483
2,114,4483
2,506,4483
3,1732,127175
2,287,4483
0,2910,4537
1,641,4537
1,1194,4537
0,2569,95987
3,1497,522484
0,2663,127175
4,2103,4537
4,2042,447913
2,47,581514
2,47,581514
0,3069,3304195
0,3069,447913
0,3069,1229821
0,2895,4537
2,295,95987
2,295,4537
1,725,4537
2,68,1180168
2,95,4483
2,506,4483
0,2599,522484
3,1467,4537
2,187,529295
1,1097,95987
0,2534,4537
3,1428,4538
2,294,4483
3,1279,4483
0,2855,4537
4,2456,4537
4,2251,4537
2,294,4483
1,699,106546
2,228,106546
2,228,522484
2,228,127175
2,68,95987
1,1173,106546
2,475,4537
1,1030,4537
1,1179,4537
1,583,1225174
2,138,4483
4,1863,581514
3,1376,522484
3,1376,127175
0,2902,4483
4,1921,62056
1,744,4537
3,1276,4537
4,2270,4537
2,270,95987
2,270,106546
4,2041,4483
3,1691,106546
3,1691,4483
4,2195,4537
4,2078,1180168
0,2873,581514
1,1185,4537
3,1355,106546
0,2979,127175
0,3011,4537
0,2762,4537
0,2685,1229821
0,3119,447913
0,2875,4537
4,2105,5065
2,174,4537
2,455,95987
4,2156,4536
2,364,4536
0,2778,106546
0,2535,95987
4,2175,522484
4,2175,127175
1,1079,4537
2,380,106546
2,461,4483
3,1618,4537
3,1239,106546
3,1667,529295
0,2703,1229817
0,2703,1229821
0,2573,4537
0,3123,4537
4,2156,650659
4,2156,95987
1,908,1229825
3,1470,447913
1,1071,4483
4,1909,95987
4,1942,95987
0,3069,1229821
4,1990,522484
4,1990,106546
4,2427,4537
1,990,4483
3,1804,4537
2,29,127175
0,2919,95987
0,2899,529295
2,34,4537
2,440,4483
4,2078,1229817
0,2703,1180168
0,2703,1229821
0,2703,1229817
1,908,95987
0,2833,4537
0,2761,1070524
0,3069,1180168
0,3136,4483
4,1940,4537
3,1469,4483
3,1585,4538
1,843,95987
1,843,522484
1,843,127175
4,2140,4537
4,1990,522484
4,1990,106546
2,244,4483
0,2706,581514
4,2350,106546
4,1852,447913
0,2510,106546
3,1257,4537
1,961,581514
3,1521,95987
4,1990,529295
2,124,4538
0,3075,1070524
4,1897,4483
0,2538,4536
2,113,4537
1,833,1071165
4,1925,95987
2,376,529295
2,308,4483
3,1428,581514
0,3129,447913
0,3129,1229821
3,1428,4483
4,2070,106546
4,2448,650659
0,3069,1229817
4,1990,4537
4,1990,581514
3,1289,4483
1,1079,4537
2,481,4537
4,2177,127175
4,2177,529295
0,2972,4483
1,939,4538
0,2720,4538
2,50,4537
0,2557,95987
1,1171,1180168
1,582,4537
3,1737,4537
4,2341,4537
3,1414,4483
3,1768,4483
3,1257,1071165
0,3069,1180168
1,1039,4537
4,2156,4536
4,1918,4537
3,1640,4537
0,2594,4536
4,2442,4537
0,3129,3304195
0,3129,1229821
0,3129,1229820
0,3129,1229819
0,3051,1070524
2,36,4483
4,1930,106546
4,2074,1229821
3,1289,4483
2,458,4537
1,585,4537
0,3136,4483
0,2703,1229817
0,2703,3304195
0,2703,1229821
4,2302,581514
4,1837,4537
2,198,106546
4,1881,106546
2,36,4537
3,1233,4483
4,1920,447913
0,2718,106546
0,2718,95987
0,2570,127175
0,2654,106546
0,2654,522484
4,1967,4537
0,2930,4537
1,850,4537
4,1866,447913
1,912,4537
1,1080,529295
2,535,4537
0,3050,4537
4,2306,106546
4,2416,4483
2,345,529295
1,821,581514
1,810,4537
2,79,4537
1,1072,447913
4,1878,522484
0,2706,581514
3,1261,4537
3,1428,4537
3,1529,1070524
1,933,4537
3,1712,4483
4,2137,529295
4,1990,581514
4,2138,106546
4,2138,4483
4,2138,522484
1,682,529295
0,2868,4483
0,3036,1229821
0,3036,1180168
0,3036,1229817
2,536,4483
4,2137,529295
0,2706,581514
1,837,4483
3,1766,447913
0,2965,4483
0,2630,447913
4,2195,4483
4,2424,4483
3,1688,522484
0,2510,522484
0,2510,1229817
0,2510,3304195
0,2510,1229821
3,1428,4483
4,1883,581514
0,2896,1229821
0,2896,447913
1,723,4483
0,3069,1229817
0,3069,3304195
0,3069,1229821
1,768,581514
3,1712,4483
1,624,4537
4,2256,529295
1,839,4537
1,1097,1070524
0,3118,127175
0,2510,4537
0,2510,95987
0,2510,522484
4,1925,447913
4,1925,95987
4,1925,1229825
4,1925,581514
4,2298,581514
2,483,522484
0,3069,1229821
0,2939,4537
4,2128,4537
0,3069,1229821
0,2510,3304195
0,2510,1229821
1,583,4538
1,619,529295
3,1502,529295
3,1428,4537
0,2706,581514
2,442,581514
3,1344,4537
1,1079,4537
4,2448,581514
4,2367,529295
0,2842,581514
1,827,4536
0,2510,3304195
0,2510,1229821
4,2195,4537
4,1971,581514
4,1990,4483
4,2156,1229821
3,1702,95987
2,68,1229821
2,68,447913
0,2659,581514
4,2078,95987
3,1811,4483
3,1501,1070524
4,2114,95987
1,950,581514
1,850,4537
2,68,1180168
2,189,106546
2,189,522484
3,1422,4537
3,1712,4483
4,2078,1180168
1,1062,581514
3,1627,1180168
4,2448,95987
3,1737,4537
4,1979,4537
0,3129,1180168
4,1990,106546
4,1990,522484
1,866,4483
2,68,1229821
2,68,1229817
2,68,447913
3,1230,4483
0,2510,3304195
4,2448,650659
1,963,106546
0,3007,4457
1,839,4537
1,1199,522484
1,1136,529295
0,2570,447913
4,2103,4537
4,2156,1229817
4,2156,1229821
2,142,650659
0,2510,3304195
0,2510,522484
0,2510,106546
2,374,106546
3,1601,4537
4,2195,4537
2,534,4537
3,1289,4483
1,931,106546
0,3069,1229817
3,1428,4483
4,2023,4537
0,2967,1085065
4,1843,4537
3,1286,1229817
1,658,4537
2,446,95987
0,2706,581514
0,2706,4537
4,2256,127175
3,1640,4483
4,2057,529295
3,1510,4537
0,2508,1225174
2,184,4483
0,3007,4457
3,1457,95987
4,2069,4537
0,2591,4537
4,1864,95987
4,1864,106546
4,1864,522484
4,2441,4483
4,2441,4537
2,462,4483
4,2078,1229817
4,2078,1229821
4,2078,1229820
3,1436,95987
1,1097,4537
1,1097,4483
0,3043,4537
1,734,650659
4,2156,4536
4,1953,581514
0,2570,1085065
1,1097,1070524
3,1631,522484
3,1631,106546
1,744,4537
3,1340,4537
3,1250,650659
3,1627,4537
3,1689,447913
4,2205,1229821
2,333,4537
0,2816,95987
1,1088,1085065
3,1297,95987
3,1635,4483
3,1745,522484
1,952,581514
1,1184,4537
0,2471,4483
4,2103,4537
0,2492,650659
4,2037,4537
0,2510,522484
0,2510,95987
3,1588,4483
0,3033,581514
0,2510,3304195
0,2510,1229821
2,200,4483
3,1375,529295
2,152,4536
4,2026,4537
1,699,106546
3,1626,5065
2,101,4483
3,1340,4537
2,39,95987
1,980,106546
1,980,95987
1,980,127175
4,2256,127175
1,847,522484
4,1933,4537
3,1712,4483
2,376,529295
3,1737,4537
0,2725,4537
0,2707,4537
0,2594,4537
4,2458,106546
4,2458,522484
4,2458,95987
2,41,4483
0,2816,1229821
3,1519,581514
2,167,447913
4,1990,4483
3,1770,581514
0,3137,4537
1,687,4483
0,2528,650659
4,1897,4483
0,3095,581514
2,337,4537
4,1838,4537
2,281,1229821
2,377,4537
0,3036,1229821
2,68,522484
3,1805,127175
3,1805,106546
1,918,127175
1,918,106546
1,1097,447913
4,2370,529295
4,1873,4536
3,1467,4537
1,986,127175
2,68,1225174
0,2517,4537
3,1745,95987
1,1120,4537
4,1897,4483
4,1984,447913
1,1157,522484
1,1157,127175
1,800,447913
0,2510,522484
0,2510,106546
0,3129,4538
3,1428,4483
3,1428,4483
2,316,522484
2,316,127175
2,47,581514
0,2997,581514
3,1227,4536
0,2980,4536
2,68,1229817
0,2470,581514
4,2424,4483
0,2736,4537
4,1892,4537
2,184,4483
4,2078,1180168
1,849,1225174
3,1355,106546
0,2829,4483
3,1781,4483
4,2195,4537
2,418,581514
1,1022,4483
3,1570,4483
4,2256,529295
1,1050,4483
4,2156,95987
4,2436,4537
2,482,529295
4,2185,1225174
2,155,1225174
0,2703,3304195
0,2703,1229821
0,2703,1229820
3,1588,4483
0,2734,4483
1,845,4536
2,484,581514
3,1375,529295
1,1000,4537
0,2703,3304195
0,2703,1229821
4,1902,4537
3,1375,529295
0,2685,1229821
1,1091,4537
3,1428,581514
4,2440,95987
4,2440,522484
4,2440,127175
0,2510,1229817
0,2510,3304195
0,2510,1229821
1,703,4483
0,2703,3304195
0,2703,1229821
0,2510,3304195
0,2510,1229817
4,2026,4537
3,1712,4483
4,1881,106546
0,3095,4537
2,244,4483
1,850,4537
3,1354,4537
3,1354,95987
3,1718,447913
3,1718,1229821
0,2491,4483
1,1148,522484
3,1382,95987
3,1382,4537
3,1519,581514
3,1519,4537
4,2026,4537
1,809,4483
3,1340,4537
0,2622,529295
2,184,4483
1,605,522484
